time;state;goal
5,92;0,667887;1
5,93;0,66794;1
5,94;0,667992;1
5,95;0,668043;1
5,96;0,668092;1
5,97;0,66814;1
5,98;0,668187;1
5,99;0,668233;1
6;0,668277;1
6,01;0,66832;1
6,02;0,668362;1
6,03;0,668402;1
6,04;0,668442;1
6,05;0,66848;1
6,06;0,668517;1
6,07;0,668552;1
6,08;0,668587;1
6,09;0,66862;1
6,1;0,668653;1
6,11;0,668684;1
6,12;0,668713;1
6,13;0,668742;1
6,14;0,66877;1
6,15;0,668796;1
6,16;0,668822;1
6,17;0,668846;1
6,18;0,66887;1
6,19;0,668892;1
6,2;0,668913;1
6,21;0,668933;1
6,22;0,668952;1
6,23;0,66897;1
6,24;0,668988;1
6,25;0,669004;1
6,26;0,669019;1
6,27;0,669033;1
6,28;0,669046;1
6,29;0,669059;1
6,3;0,66907;1
6,31;0,66908;1
6,32;0,66909;1
6,33;0,669099;1
6,34;0,669106;1
6,35;0,669113;1
6,36;0,669119;1
6,37;0,669125;1
6,38;0,669129;1
6,39;0,669133;1
6,4;0,669136;1
6,41;0,669138;1
6,42;0,669139;1
6,43;0,66914;1
6,44;0,669139;1
6,45;0,669138;1
6,46;0,669137;1
6,47;0,669134;1
6,48;0,669131;1
6,49;0,669128;1
6,5;0,669123;1
6,51;0,669118;1
6,52;0,669113;1
6,53;0,669106;1
6,54;0,669099;1
6,55;0,669092;1
6,56;0,669084;1
6,57;0,669075;1
6,58;0,669066;1
6,59;0,669056;1
6,6;0,669046;1
6,61;0,669035;1
6,62;0,669023;1
6,63;0,669012;1
6,64;0,668999;1
6,65;0,668986;1
6,66;0,668973;1
6,67;0,668959;1
6,68;0,668945;1
6,69;0,668931;1
6,7;0,668916;1
6,71;0,6689;1
6,72;0,668884;1
6,73;0,668868;1
6,74;0,668851;1
6,75;0,668835;1
6,76;0,668817;1
6,77;0,6688;1
6,78;0,668782;1
6,79;0,668763;1
6,8;0,668745;1
6,81;0,668726;1
6,82;0,668707;1
6,83;0,668688;1
6,84;0,668668;1
6,85;0,668648;1
6,86;0,668628;1
6,87;0,668608;1
6,88;0,668587;1
6,89;0,668566;1
6,9;0,668545;1
6,91;0,668524;1
6,92;0,668503;1
6,93;0,668481;1
6,94;0,668459;1
6,95;0,668438;1
6,96;0,668416;1
6,97;0,668393;1
6,98;0,668371;1
6,99;0,668349;1
7;0,668326;1
7,01;0,668304;1
7,02;0,668281;1
7,03;0,668258;1
7,04;0,668236;1
7,05;0,668213;1
7,06;0,66819;1
7,07;0,668167;1
7,08;0,668144;1
7,09;0,668121;1
7,1;0,668098;1
7,11;0,668074;1
7,12;0,668051;1
7,13;0,668028;1
7,14;0,668005;1
7,15;0,667982;1
7,16;0,667959;1
7,17;0,667936;1
7,18;0,667913;1
7,19;0,66789;1
7,2;0,667867;1
7,21;0,667844;1
7,22;0,667821;1
7,23;0,667798;1
7,24;0,667775;1
7,25;0,667753;1
7,26;0,66773;1
7,27;0,667707;1
7,28;0,667685;1
7,29;0,667663;1
7,3;0,66764;1
7,31;0,667618;1
7,32;0,667596;1
7,33;0,667574;1
7,34;0,667552;1
7,35;0,667531;1
7,36;0,667509;1
7,37;0,667488;1
7,38;0,667466;1
7,39;0,667445;1
7,4;0,667424;1
7,41;0,667403;1
7,42;0,667382;1
7,43;0,667362;1
7,44;0,667341;1
7,45;0,667321;1
7,46;0,667301;1
7,47;0,667281;1
7,48;0,667261;1
7,49;0,667241;1
7,5;0,667222;1
7,51;0,667203;1
7,52;0,667184;1
7,53;0,667165;1
7,54;0,667146;1
7,55;0,667127;1
7,56;0,667109;1
7,57;0,667091;1
7,58;0,667073;1
